"enquadramento";"2019";"2020";"2021";"2022"
"Transitar Efetuando Transporte Remunerado De Bens Qdo Nao Licenciado P/ Esse Fim";NA;3;NA;1
"Deixar De Reduzir A Velocidade Do Veiculo Ao Aproximar-Se Do Acostamento";NA;NA;2;1
"Estacionar Aclive/Declive N Freado E Sem Calco Seguranca, Pbt Superior A 3500 Kg";NA;NA;2;1
"Deixar De Parar No Acostamento A Direita, P/ Cruzar Pista Ou Entrar A Esquerda";NA;NA;NA;1
"Conduzir Motocicleta, Motoneta E Ciclomotor Com Os Farois Apagados";2272;1845;552;NA
"Deixar De Retirar Qualquer Objeto Utilizado Para Sinalizacao Temporaria Da Via";1;1;1;NA
"Deixar De Sinalizar A Via P/Tornar Visivel O Local Qdo A Carga For Derramada";1;1;1;NA
"Deixar De Sinalizar A Via P/Tornar Visivel O Local Qdo Permanecer Acostamento";2;NA;NA;NA
"Dirigir Veiculo Realizando Cobranca De Tarifa Com Veiculo Em Movimento";7;3;NA;NA
"Em Mov Deixar De Manter Acesas Luzes De Posicao Sob Chuva Forte/Neblina/Cerracao";38;34;5;NA
"Em Mov, Deixar De Manter Acesa Luz Baixa Veic Transp Coletivo Faixa/Pista Excl";3;1;NA;NA
"Estacionar Junto/Sobre Hidr De Incendio, Reg De Agua/Tampa De Poco Visit Gal Sub";12;4;3;NA
"Estacionar Nos Tuneis";3;NA;5;NA
"Fazer Ou Deixar Que Se Faca Reparo Em Veic, Em Rodovia E Via De Transito Rapido";3;NA;NA;NA
"Fazer/Deixar Que Se Faca Reparo Em Veic Nas Vias (Q Nao Rodovia/Transito Rapido)";4;6;1;NA
"Parar Nos Tuneis";1;NA;NA;NA
"Transitar Com O Veiculo Danificando A Via, Suas Instalacoes E Equipamentos";3;2;1;NA
"Ultrap P/ Direita Veic De Transp Coletivo/Escolar Parado Para Emb/Desemb Passag";2;4;3;NA
"Ultrapassar Pela Contramao Nas Pontes";3;1;NA;NA
"Ultrapassar Pela Contramao Veiculo Parado Em Fila Junto A Cancela/Porteira";1;NA;1;NA
"Ultrapassar Veiculos Motorizados Em Fila, Parados Em Razao De Qualquer Obstaculo";5;1;5;NA
"Conduzir Ciclomotor Via De Transito Rapido";NA;3;NA;NA
"Retirar Do Local Veiculo Legalmente Retido Para Regularizacao, Sem Permissao";NA;1;NA;NA
"Transitar Com O Veiculo Desligado Em Declive";NA;1;1;NA
"Deixar De Dar Preferencia Em Intersecao N Sinaliz, A Veic Circulando Por Rodovia";NA;NA;1;NA
"Deixar De Reduzir A Velocidade Quando Houver Ma Visibilidade";NA;NA;1;NA
"Transitar Em Velocidade Inferior A Metade Da Maxima Da Via, Salvo Faixa Direita";NA;NA;3;NA
"Ultrapassar Veiculos Motorizados Em Fila, Parados Em Razao De Cancela";NA;NA;12;NA
